, KOOTENAI - LIBBY DAM, KOOTENAI - AT LEONIA, NF FLATHEAD - NEAR COLUMBIA FALLS, MF FLATHEAD - NEAR WEST GLACIER, SF FLATHEAD - HUNGRY HORSE DAM, FLATHEAD - AT COLUMBIA FALLS, CLARK FORK - AT DEER LODGE, CLARK FORK - NR DRUMMOND, ROCK CREEK - NEAR CLINTON, BLACKFOOT - NEAR BONNER, CLARK FORK - ABOVE MISSOULA, BITTERROOT - NEAR MISSOULA, CLARK FORK - BELOW MISSOULA, ST. REGIS - NEAR ST. REGIS, CLARK FORK - AT ST REGIS, FLATHEAD - KERR DAM, CLARK FORK - NOXON RAPIDS DAM, CLARK FORK - CABINET GORGE DAM, PRIEST - NEAR PRIEST RIVER, PEND OREILLE - ALBENI FALLS DAM, COEUR D ALENE - COEUR D ALENE LAKE, SPOKANE - AT SPOKANE, SPOKANE - AT LONGLAKE, ST MARIES - NEAR SANTA, COLUMBIA - AT INTL BOUNDARY, KETTLE - AT LAURIER, COLUMBIA - GRAND COULEE DAM, COLUMBIA - CHIEF JOSEPH DAM, OKANOGAN - NEAR TONASKET, METHOW - NEAR PATEROS, COLUMBIA - WELLS DAM, CHELAN - LAKE CHELAN DAM, COLUMBIA - ROCKY REACH DAM, ENTIAT - NEAR ARDENVOIR, WENATCHEE - AT PESHASTIN, COLUMBIA - WANAPUM DAM, COLUMBIA - PRIEST RAPIDS DAM, YAKIMA - KEECHELUS LAKE, KACHESS - KACHESS DAM, YAKIMA - AT EASTON, CLE ELUM - CLE ELUM LAKE, TEANAWAY - BELOW FORKS, YAKIMA - AT UMTANUM, BUMPING - BUMPING LAKE DAM, NACHES - NEAR CLIFFDEL, TIETON - RIMROCK LAKE NEAR RIMROCK, NACHES - NEAR NACHES, YAKIMA - NEAR PARKER, YAKIMA - AT KIONA, HENRYS FORK - ISLAND PARK DAM, FALL RIVER - NEAR CHESTER, HENRYS FORK - AT ST. ANTHONY, TETON - NEAR ST. ANTHONY, HENRYS FORK - AT REXBURG, SNAKE - JACKSON LAKE AT DAM, SNAKE - NEAR JACKSON, SNAKE - NEAR ALPINE, SF SNAKE - PALISADES DAM, SNAKE - NEAR HEISE, WILLOW CREEK - RIRIE DAM, SNAKE - AB EAGLE ROCK NR IDAHO FALLS, SNAKE - NEAR SHELLEY, SNAKE - AT BLACKFOOT, SNAKE - NEAR BLACKFOOT, PORTNEUF - AT POCATELLO, SNAKE - AMERICAN FALLS RESERVOIR, SNAKE - AT MILNER, BRUNEAU - NEAR HOT SPRINGS, SNAKE - BELOW SWAN FALLS, BIG LOST - AT HOWELL RANCH NEAR CHILLY, BIG LOST - MACKAY RESERVOIR NEAR MACKAY, BIG WOOD - AT HAILEY, BIG WOOD - MAGIC DAM, LITTLE WOOD - LITTLE WOOD DAM, OWYHEE - OWYHEE DAM, SF BOISE - ANDERSON RANCH DAM, BOISE - LUCKY PEAK DAM, BOISE - AT GLENWOOD BRIDGE, BOISE - NEAR PARMA, MALHEUR - WARM SPRINGS DAM, MALHEUR - AGENCY VALLEY DAM, BULLY CREEK - BULLY CREEK DAM, NF PAYETTE - CASCADE DAM, DEADWOOD - NEAR LOWMAN, PAYETTE - NEAR EMMETT, WEISER - NEAR WEISER, SNAKE - AT WEISER, SNAKE - BROWNLEE DAM, SALMON - AT WHITEBIRD, GRANDE RONDE - TROY, SNAKE - NEAR ANATONE, CLEARWATER - AT OROFINO, NF CLEARWATER - DWORSHAK DAM, CLEARWATER - AT SPALDING, SNAKE - LOWER GRANITE DAM, SNAKE - LITTLE GOOSE DAM, SNAKE - LOWER MONUMENTAL DAM, SNAKE - ICE HARBOR DAM, WALLA WALLA - NEAR TOUCHET, COLUMBIA - MCNARY DAM, UMATILLA - NEAR GIBBON, UMATILLA - AT PENDLETON, MCKAY CREEK - NEAR PILOT ROCK, UMATILLA - NEAR UMATILLA, NF JOHN DAY - AT MONUMENT, JOHN DAY - AT SERVICE CK, COLUMBIA - JOHN DAY DAM, DESCHUTES - AT MOODY NR BIGGS, COLUMBIA - THE DALLES DAM, KLICKITAT - NEAR PITT, HOOD - NEAR TUCKER BRIDGE, WHITE SALMON - NEAR UNDERWOOD, COLUMBIA - BONNEVILLE DAM
2019-11-05, 4018, 4650, 827, 927, 1068, 3714, 350, 751, 279, 609, , 1135, , 110, 3615, 4136, 9789, 10734, 1098, , 882, 2617, 3360, 70, 72728, 1203, 77507, 89999, 1648, 772, 92560, 842, 96989, , 1024, 98966, 98871, 170, 127, 186, 432, 59, 817, 75, 291, 215, 552, 1474, 1579, 414, 468, , 494, 1804, 432, 1357, , 2892, 1436, 43, 3376, 3327, 2939, , 242, , 170, 124, 7194, 112, 196, 211, 134, 61, 238, , 90, , 892, 75, , 53, 227, 57, 1051, 146, 10697, 11457, 4719, 792, , 2529, 984, 4382, 18906, 18906, 19032, 19032, 130, 107602, 54, 93, 10, 273, 152, 414, 106611, 4953, 110105, 691, 302, 545, 111790
2019-11-06, 3988, 4616, 818, 892, 1039, 3646, 352, 750, 280, 597, , 1106, , 111, 3557, 4133, 9633, 10566, 1101, , 862, 2600, 3334, 69, 71668, 1140, 76742, 89999, 1610, 756, 92462, 815, 95074, , 1017, 96100, 96103, 159, 121, 182, 418, 55, 811, 73, 284, 216, 532, 1459, 1567, 413, 467, , 490, 1779, 431, 1352, , 2866, 1434, 43, 3355, 3266, 2897, , 247, , 170, 124, 7121, 112, 196, 210, 131, 62, 238, , 91, , 888, 78, , 53, 226, 57, 1051, 138, 10725, 11453, 4690, 790, , 2466, 969, 4339, 18817, 18817, 18944, 18944, 129, 117696, 53, 90, 10, 273, 151, 410, 120489, 5208, 123762, 686, 296, 535, 124959
2019-11-07, 3940, 4600, 815, 866, 1018, 3644, 352, 747, 276, 585, , 1081, , 109, 3505, 4075, 9578, 10508, 1104, , 853, 1429, 2723, 68, 69152, 1073, 73638, 89999, 1572, 720, 92384, 779, 94993, , 1011, 96016, 96020, 150, 114, 178, 386, 53, 801, 71, 277, 215, 514, 1440, 1557, 412, 468, , 490, 1747, 431, 1352, , 2848, 1429, 42, 3333, 3221, 2866, , 245, , 169, 124, 7146, 111, 195, 209, 133, 61, 238, , 90, , 886, 77, , 54, 226, 57, 1048, 138, 10435, 11195, 4667, 778, , 2381, 958, 4251, 18667, 18667, 18795, 18795, 128, 116643, 53, 88, 10, 271, 150, 414, 119998, 5215, 123382, 682, 290, 525, 124911
2019-11-08, 3883, 4585, 812, 841, 998, 3729, 352, 742, 274, 576, , 1064, , 111, 3462, 4086, 9568, 10499, 1108, , 848, 712, 1463, 68, 68298, 1034, 71105, 89999, 1547, 693, 92308, 773, 94910, , 1004, 95925, 95928, 141, 107, 174, 359, 51, 793, 69, 271, 213, 495, 1422, 1542, 410, 466, , 487, 1730, 429, 1348, , 2836, 1423, 41, 3310, 3198, 2851, , 243, , 167, 123, 7173, 111, 195, 207, 133, 62, 238, , 89, , 885, 75, , 55, 225, 57, 1038, 137, 10454, 11159, 4659, 766, , 2287, 946, 4162, 18522, 18522, 18650, 18650, 126, 116388, 52, 86, 10, 269, 149, 413, 119756, 5196, 123114, 677, 285, 516, 124628
2019-11-09, 3856, 4571, 809, 818, 976, 3700, 354, 742, 274, 566, , 1041, , 116, 3422, 4127, 9577, 10512, 1111, , 842, 697, 1427, 67, 65956, 993, 69317, 88124, 1524, 678, 90735, 825, 93692, , 990, 95089, 95191, 134, 103, 171, 359, 50, 788, 68, 267, 213, 478, 1405, 1512, 408, 463, , 486, 1712, 428, 1346, , 2820, 1420, 41, 3298, 3190, 2857, , 239, , 164, 123, 7201, 111, 196, 208, 133, 62, 238, , 90, , 885, 75, , 56, 224, 57, 1029, 136, 10487, 11190, 4655, 756, , 2173, 934, 4051, 18369, 18369, 18498, 18498, 123, 116097, 52, 84, 11, 268, 149, 414, 119502, 5171, 122825, 673, 280, 506, 124325
2019-11-10, 3852, 4557, 804, 796, 960, 3655, 352, 744, 274, 554, , 1041, , 116, 3388, 4107, 9585, 10524, 1116, , 837, 682, 1413, 67, 64962, 958, 67564, 84999, 1498, 691, 87232, 987, 89900, , 1042, 91153, 91259, 147, 120, 170, 477, 49, 783, 67, 266, 223, 465, 1394, 1482, 407, 464, , 485, 1695, 427, 1346, , 2810, 1416, 41, 3286, 3184, 2871, , 237, , 162, 122, 7228, 112, 197, 209, 134, 62, 238, , 88, , 885, 75, , 56, 224, 57, 1025, 135, 10529, 11228, 4652, 751, , 2140, 924, 3977, 18259, 18259, 18389, 18389, 120, 113730, 51, 84, 10, 267, 149, 418, 117683, 5150, 121099, 668, 276, 497, 122816
2019-11-11, 3831, 4548, 792, 778, 948, 3614, 351, 744, 273, 546, , 1028, , 118, 3372, 4091, 9598, 10541, 1130, , 848, 667, 1398, 79, 63525, 927, 66498, 86874, 1477, 707, 88738, 1253, 91013, , 1179, 91760, 91653, 224, 193, 175, 913, 52, 784, 69, 268, 258, 456, 1388, 1457, 406, 469, , 482, 1685, 426, 1342, , 2801, 1413, 41, 3277, 3179, 2886, , 241, , 159, 122, 7255, 111, 195, 208, 135, 61, 238, , 87, , 885, 75, , 56, 224, 57, 1018, 134, 10573, 11271, 4648, 750, , 2267, 1168, 4064, 18314, 18314, 18446, 18446, 120, 111070, 51, 84, 10, 264, 149, 421, 114602, 5131, 117918, 664, 272, 487, 119508
2019-11-12, 3823, 4547, 782, 758, 928, 3685, 351, 741, 271, 540, , 1006, , 120, 3343, 4080, 9782, 10744, 1116, , 946, 653, 1380, 89, 62379, 897, 65001, 89999, 1450, 721, 92202, 1510, 94875, , 1268, 95885, 95767, 263, 226, 197, 1013, 77, 790, 107, 276, 260, 449, 1392, 1438, 405, 468, , 478, 1676, 424, 1331, , 2779, 1409, 41, 3275, 3181, 2906, , 244, , 157, 122, 7282, 109, 193, 206, 136, 61, 238, , 87, , 885, 75, , 56, 234, 57, 1008, 132, 10610, 11309, 4640, 750, , 2351, 1415, 4180, 18400, 18400, 18532, 18532, 126, 113289, 51, 85, 11, 262, 149, 425, 116116, 5108, 119190, 661, 270, 478, 120347
2019-11-13,3786.0,4544.0,775.0,739.0,915.0,3728.0,351.0,740.0,268.0,535.0,1549.0,992.0,2630.0,116.0,3302.0,4126.0,10022.0,11012.0,1110.0,11550.0,1091.0,638.0,1366.0,95.0,61956.0,870.0,64412.0,89999.0,1420.0,724.0,92176.0,1367.0,95153.0,83.0,1286.0,96423.0,96417.0,296.0,257.0,215.0,1088.0,144.0,828.0,149.0,300.0,270.0,457.0,1415.0,1427.0,405.0,468.0,1520.0,477.0,1660.0,423.0,1343.0,1703.0,2773.0,1405.0,41.0,3269.0,3183.0,2930.0,2629.0,247.0,4734.0,155.0,122.0,7308.0,109.0,193.0,204.0,137.0,61.0,238.0,283.0,88.0,253.0,884.0,75.0,53.0,56.0,304.0,58.0,1016.0,135.0,10654.0,11345.0,4632.0,749.0,14565.0,2264.0,1466.0,4142.0,18329.0,18329.0,18463.0,18463.0,135.0,116208.0,51.0,85.0,11.0,262.0,149.0,427.0,119451.0,5091.0,122554.0,657.0,266.0,473.0,123780.0
2019-11-14,3759.0,4542.0,765.0,720.0,904.0,3701.0,351.0,737.0,267.0,529.0,1543.0,987.0,2590.0,114.0,3272.0,4142.0,10038.0,11034.0,1117.0,10930.0,1224.0,623.0,1352.0,91.0,61806.0,841.0,64174.0,89999.0,1401.0,700.0,92129.0,1362.0,95119.0,90.0,1394.0,96528.0,96528.0,300.0,261.0,217.0,1227.0,190.0,910.0,146.0,313.0,248.0,461.0,1494.0,1438.0,415.0,470.0,1499.0,466.0,1715.0,422.0,1331.0,1699.0,2761.0,1404.0,41.0,3260.0,3179.0,2950.0,2646.0,249.0,4754.0,152.0,123.0,7335.0,109.0,193.0,203.0,137.0,61.0,238.0,284.0,84.0,253.0,881.0,75.0,53.0,57.0,239.0,58.0,1012.0,131.0,10710.0,11398.0,4621.0,742.0,14507.0,2192.0,1355.0,4036.0,18183.0,18183.0,18317.0,18317.0,135.0,116408.0,50.0,85.0,12.0,264.0,150.0,425.0,119874.0,5094.0,123051.0,653.0,263.0,483.0,124445.0
