, LIBBY DAM, KOOTENAI RIV AT LEONIA, NF FLATHEAD R NR COLUMBIA FALL, MF FLATHEAD NR WEST GLACIER, HUNGRY HORSE DAM, FLATHEAD R AT COLUMBIA FALLS, CLARK FORK AT DEER LODGE, CLARK FORK AT DRUMMOND, ROCK CREEK NR CLINTON, BLACKFOOT R NR BONNER, CLARK FORK AB MISSOULA, BITTERROOT R NR MISSOULA, CLARK FORK BELOW MISSOULA, ST. REGIS R. NR ST. REGIS, CLARK FORK AT ST REGIS    TB20, KERR DAM, NOXON RAPIDS DAM, CABINET GORGE DAM, PRIEST R NR PRIEST RIVER, ALBENI FALLS DAM, COEUR D'ALENE LAKE, SPOKANE RIV AT LONGLAKE, ST MARIES R NR SANTA, COLUMBIAR @INTERNATL BOUNDAR, KETTLE RIVER AT LAURIER, GRAND COULEE DAM, CHIEF JOSEPH DAM, OKANOGAN RIVER NR TONASKET, METHOW R NR PATEROS, WELLS DAM, LAKE CHELAN DAM, ROCKY REACH DAM, ENTIAT R NR ARDENVOIR, WENATCHEE R AT PESHASTIN  TB20, WANAPUM DAM, PRIEST RAPIDS DAM, KEECHELUS LAKE, KACHESS DAM, YAKIMA RIVER AT EASTON, CLE ELUM LAKE, YAKIMA RIVER AT CLE ELUM, TEANAWAY RIVER BLW FORKS, YAKIMA RIVER AT UMTANUM, BUMPING LAKE, NACHES RIVER NR CLIFFDEL, RIMROCK LAKE, NACHES RIVER NR NACHES, YAKIMA RIVER NR PARKER, YAKIMA RIVER AT KIONA, ISLAND PARK 1SWIS.PARKDM&RES, FALL RIVER NR CHESTER, HENRYS FORK AT ST. ANTHONY, TETON RIVER NEAR ST. ANTHONY, HENRYS FORK NEAR REXBURG, SNKE R ON JACKSN LK AT DM TB20, SNAKE RIVER NR JACKSON, SNAKE RIVER NR ALPINE, PALISADES DAM, SNAKE RIVER NR HEISE, RIRIE DAM, SNAKE AB EAGLE ROCK NR ID FALL, SNAKE RIVER NR SHELLEY, SNAKE RIVER AT BLACKFOOT, SNAKE RIVER NEAR BLACKFOOT, PORTNEUF RIVER AT POCATELLO, AMERICAN FALLS RESERVOIR  TB12, SNAKE RIV AT MILNER, BRUNEAU RIVER NR HOT SPRINGS, SNAKE RIVER BELOW SWAN FALLS, BIG LOST R@HOW'L RNCH NR CHILL, BIG LOST R AT MACKAY, BIG WOOD RIVER AT HAILEY, MAGIC DM&RES-BIG WOOD RICHFLD, LITL.WOODDM&RESNRCAREY, OWYHEE BELOW OWYHEE DAM, BOISE RIVER AT GLENWOOD BRIDGE, BOISE RIVER NR PARMA, WARM SPRINGS RESERVOIR, AGENCY VLY DAM & BEULAH RSVR, BULLY CREEK DAM & RES     TB12, MALHEUR RIVER NR VALE, CASCADE DAM               TB12, DEADWOOD DAM, PAYETTE RIVER NEAR EMMETT, WEISER 10 ENE, SNAKE RIVER AT WEISER, BROWNLEE DAM, SALMON R AT WHITEBIRD, GRANDE RONDE RIVER AT TROY, SNAKE RIVER NR ANATONE, CLEARWATER R AT OROFINO, DWORSHAK DAM, CLEARWATER R AT SPALDING, LOWER GRANITE DAM, LITTLE GOOSE DAM, LOWER MONUMENTAL DAM, ICE HARBOR DAM, WALLA WALLA RIV NR TOUCHET, MCNARY DAM, UMATILLA R NR GIBBON, UMATILLA R AT PENDLETON, MCKAY CR NR PILOTROCK, UMATILLA RIVER NEAR UMATILLA, NF JOHN DAY RIV AT MONUMENT, JOHN DAY RIVER AT SERVICE CK, JOHN DAY DAM, DESCHUTES R AT MOODY NR BIGGS, THE DALLES, KLICKITAT R NR PITT, HOOD R AT TUCKER BRIDGE   TB20, WHITE SALMON R NR UNDERWOOD, BONNEVILLE DAM
2003-10-15,3229.0,4905.0,566.0,415.0,480.0,3495.0,157.0,423.0,234.0,472.0,1127.0,588.0,1802.0,84.0,2314.0,3614.0,6220.0,6008.0,2073.0,8530.0,786.0,1954.0,60.0,75350.0,164.0,77320.0,74987.0,571.0,292.0,76285.0,548.0,79014.0,63.0,619.0,83620.0,83129.0,129.0,91.0,230.0,182.0,519.0,27.0,1010.0,93.0,265.0,182.0,718.0,308.0,1467.0,389.0,428.0,978.0,472.0,868.0,439.0,1319.0,1615.0,2880.0,3795.0,15.0,1874.0,2160.0,1346.0,1410.0,88.0,4069.0,0.0,41.0,7319.0,66.0,39.0,165.0,31.0,27.0,186.0,671.0,996.0,30.0,53.0,0.0,0.0,172.0,50.0,698.0,127.0,11856.0,11043.0,3326.0,558.0,12486.0,1443.0,998.0,3265.0,15751.0,15751.0,15800.0,15800.0,61.0,95325.0,50.0,49.0,1.0,225.0,112.0,234.0,98391.0,4869.0,99168.0,707.0,353.0,543.0,111138.0
2003-10-16,3412.0,4914.0,558.0,413.0,612.0,3482.0,157.0,424.0,237.0,477.0,1137.0,598.0,1821.0,85.0,2280.0,3625.0,6215.0,6098.0,2374.0,9148.0,834.0,1966.0,61.0,75795.0,164.0,77916.0,75000.0,578.0,297.0,75875.0,546.0,78138.0,63.0,556.0,82164.0,82178.0,271.0,247.0,250.0,544.0,548.0,36.0,1033.0,134.0,281.0,219.0,612.0,276.0,1437.0,390.0,417.0,977.0,464.0,891.0,443.0,1333.0,1517.0,2731.0,3552.0,15.0,1608.0,1941.0,1231.0,1257.0,87.0,3874.0,0.0,41.0,7309.0,65.0,39.0,165.0,22.0,24.0,187.0,671.0,981.0,31.0,49.0,0.0,0.0,129.0,50.0,722.0,129.0,12011.0,11694.0,3320.0,556.0,12457.0,1425.0,1238.0,3184.0,15641.0,15641.0,15693.0,15693.0,57.0,101867.0,50.0,34.0,1.0,215.0,122.0,234.0,104012.0,5146.0,105449.0,712.0,505.0,566.0,106706.0
2003-10-17,3676.0,4965.0,550.0,418.0,551.0,3474.0,156.0,423.0,227.0,472.0,1130.0,575.0,1789.0,89.0,2293.0,3520.0,6193.0,6025.0,2433.0,9049.0,787.0,2294.0,53.0,76430.0,164.0,78826.0,72500.0,619.0,363.0,73943.0,554.0,76706.0,63.0,645.0,81159.0,81284.0,376.0,345.0,270.0,1048.0,591.0,46.0,1072.0,149.0,287.0,247.0,508.0,285.0,1390.0,388.0,403.0,963.0,459.0,904.0,442.0,1333.0,1472.0,2609.0,3290.0,16.0,1308.0,1606.0,936.0,1059.0,85.0,3710.0,0.0,41.0,7299.0,64.0,38.0,166.0,19.0,22.0,188.0,670.0,988.0,31.0,48.0,0.0,0.0,101.0,50.0,665.0,129.0,11878.0,11515.0,3317.0,553.0,12458.0,1464.0,942.0,3225.0,15683.0,15683.0,15738.0,15738.0,54.0,101362.0,50.0,30.0,0.0,202.0,104.0,234.0,103919.0,5136.0,105527.0,701.0,456.0,592.0,107387.0
2003-10-18,4120.0,5072.0,542.0,465.0,430.0,3503.0,156.0,422.0,216.0,467.0,1116.0,568.0,1766.0,84.0,2263.0,3473.0,6194.0,6004.0,2333.0,8822.0,687.0,3224.0,49.0,77353.0,169.0,80573.0,62500.0,764.0,894.0,64535.0,690.0,67575.0,63.0,1100.0,72937.0,73317.0,403.0,351.0,285.0,1094.0,617.0,103.0,1128.0,138.0,289.0,224.0,397.0,300.0,1378.0,385.0,414.0,967.0,458.0,915.0,436.0,1327.0,1464.0,2547.0,3029.0,16.0,1156.0,1375.0,667.0,784.0,84.0,3469.0,0.0,41.0,7289.0,63.0,38.0,166.0,21.0,20.0,188.0,670.0,990.0,31.0,50.0,0.0,0.0,94.0,50.0,606.0,125.0,11805.0,11478.0,3286.0,549.0,12436.0,1415.0,705.0,3207.0,15643.0,15643.0,15700.0,15700.0,60.0,97991.0,50.0,35.0,0.0,194.0,95.0,226.0,101408.0,5135.0,103178.0,702.0,400.0,581.0,105278.0
2003-10-19,4799.0,5142.0,535.0,472.0,439.0,3519.0,156.0,421.0,227.0,466.0,1130.0,601.0,1811.0,88.0,2240.0,3606.0,6178.0,6044.0,2233.0,8903.0,713.0,3384.0,54.0,78519.0,176.0,81924.0,61250.0,1056.0,1434.0,62195.0,676.0,63466.0,63.0,1351.0,67120.0,67061.0,321.0,251.0,282.0,768.0,521.0,83.0,1129.0,128.0,286.0,211.0,281.0,312.0,1391.0,384.0,441.0,989.0,460.0,944.0,435.0,1321.0,1457.0,2493.0,2769.0,16.0,1134.0,1296.0,611.0,599.0,82.0,3231.0,0.0,41.0,7280.0,63.0,38.0,166.0,35.0,19.0,189.0,670.0,993.0,32.0,54.0,0.0,0.0,110.0,50.0,554.0,127.0,11730.0,11419.0,3286.0,545.0,12407.0,1385.0,767.0,3147.0,15554.0,15554.0,15614.0,15614.0,78.0,89358.0,49.0,45.0,0.0,197.0,114.0,245.0,93177.0,5167.0,95115.0,709.0,514.0,593.0,97601.0
2003-10-20,4970.0,5146.0,529.0,446.0,451.0,3491.0,155.0,420.0,232.0,471.0,1150.0,641.0,1870.0,89.0,2285.0,3632.0,6177.0,6010.0,2133.0,8609.0,683.0,3379.0,51.0,78594.0,182.0,82375.0,78750.0,1383.0,1180.0,80801.0,622.0,82503.0,63.0,1195.0,85086.0,84441.0,251.0,151.0,263.0,429.0,476.0,47.0,1009.0,117.0,280.0,196.0,218.0,216.0,1364.0,383.0,457.0,1006.0,460.0,973.0,434.0,1316.0,1451.0,2441.0,2548.0,16.0,1007.0,1160.0,541.0,528.0,83.0,3109.0,0.0,41.0,7272.0,62.0,37.0,165.0,39.0,16.0,189.0,669.0,996.0,33.0,55.0,0.0,0.0,95.0,50.0,502.0,133.0,11666.0,11373.0,3322.0,541.0,12415.0,1432.0,739.0,3188.0,15603.0,15603.0,15669.0,15669.0,91.0,91049.0,49.0,48.0,0.0,204.0,131.0,268.0,91790.0,5133.0,92982.0,695.0,409.0,572.0,94219.0
2003-10-21,4659.0,5104.0,522.0,424.0,413.0,3460.0,155.0,419.0,215.0,466.0,1123.0,607.0,1807.0,85.0,2331.0,3516.0,6230.0,6050.0,2033.0,8494.0,631.0,3371.0,48.0,76376.0,183.0,80840.0,75000.0,1856.0,941.0,77390.0,593.0,79803.0,63.0,956.0,83862.0,84016.0,226.0,126.0,250.0,342.0,454.0,41.0,931.0,111.0,278.0,189.0,225.0,158.0,1287.0,383.0,463.0,1011.0,458.0,1008.0,433.0,1311.0,1445.0,2390.0,2440.0,16.0,911.0,1013.0,420.0,447.0,85.0,3037.0,0.0,41.0,7264.0,61.0,37.0,165.0,39.0,16.0,189.0,570.0,956.0,33.0,55.0,0.0,0.0,86.0,50.0,473.0,130.0,11595.0,11326.0,3313.0,537.0,12433.0,1370.0,685.0,3162.0,15595.0,15595.0,15663.0,15663.0,85.0,103814.0,49.0,48.0,0.0,207.0,107.0,258.0,105692.0,5122.0,106797.0,690.0,366.0,548.0,107610.0
2003-10-22,4419.0,5086.0,516.0,413.0,402.0,3439.0,155.0,418.0,211.0,462.0,1108.0,576.0,1759.0,83.0,2278.0,3461.0,6252.0,6078.0,1933.0,8454.0,606.0,3370.0,48.0,74044.0,183.0,78146.0,75000.0,2271.0,850.0,77636.0,592.0,79863.0,63.0,844.0,83246.0,83240.0,208.0,117.0,239.0,314.0,436.0,39.0,887.0,105.0,277.0,184.0,235.0,180.0,1209.0,382.0,463.0,1008.0,456.0,1027.0,433.0,1307.0,1440.0,2340.0,2351.0,16.0,857.0,908.0,298.0,336.0,85.0,2944.0,0.0,41.0,7256.0,60.0,36.0,165.0,40.0,16.0,189.0,550.0,881.0,33.0,55.0,0.0,2.0,83.0,50.0,478.0,128.0,11479.0,11242.0,3306.0,533.0,12417.0,1288.0,679.0,3076.0,15493.0,15493.0,15561.0,15561.0,81.0,101727.0,49.0,49.0,0.0,205.0,98.0,243.0,104660.0,5121.0,106223.0,687.0,354.0,536.0,108039.0
2003-10-23,4276.0,5079.0,510.0,407.0,403.0,3426.0,154.0,417.0,210.0,458.0,1102.0,575.0,1750.0,82.0,2227.0,3440.0,6205.0,6038.0,1833.0,8348.0,601.0,3370.0,48.0,73267.0,185.0,77098.0,75000.0,2380.0,827.0,78039.0,598.0,80274.0,63.0,831.0,83493.0,83484.0,191.0,111.0,227.0,295.0,421.0,38.0,856.0,101.0,276.0,180.0,245.0,226.0,1179.0,381.0,481.0,1018.0,456.0,1048.0,432.0,1303.0,1435.0,2289.0,2262.0,16.0,907.0,887.0,258.0,243.0,91.0,2842.0,0.0,42.0,7249.0,59.0,36.0,164.0,45.0,16.0,189.0,550.0,884.0,34.0,56.0,0.0,10.0,81.0,50.0,485.0,127.0,11412.0,11172.0,3306.0,528.0,12406.0,1235.0,675.0,3012.0,15418.0,15418.0,15487.0,15487.0,81.0,101221.0,49.0,50.0,0.0,203.0,97.0,235.0,103871.0,5124.0,105313.0,686.0,348.0,529.0,106904.0
2003-10-24,4185.0,5076.0,504.0,404.0,447.0,3416.0,154.0,417.0,214.0,460.0,1110.0,587.0,1768.0,82.0,2214.0,3468.0,6176.0,6035.0,1733.0,8304.0,615.0,3373.0,50.0,72788.0,186.0,76576.0,75184.0,2348.0,804.0,78321.0,587.0,80543.0,63.0,817.0,83601.0,83595.0,178.0,106.0,216.0,279.0,406.0,36.0,833.0,98.0,275.0,178.0,255.0,284.0,1197.0,381.0,498.0,1034.0,456.0,1079.0,433.0,1298.0,1430.0,2251.0,2174.0,16.0,988.0,935.0,311.0,221.0,98.0,2781.0,0.0,42.0,7242.0,58.0,36.0,164.0,52.0,16.0,193.0,550.0,887.0,34.0,58.0,0.0,19.0,84.0,50.0,493.0,127.0,11402.0,11176.0,3311.0,523.0,12401.0,1217.0,695.0,2979.0,15381.0,15381.0,15451.0,15451.0,82.0,101199.0,48.0,52.0,0.0,202.0,105.0,247.0,103866.0,5143.0,105298.0,692.0,343.0,526.0,106860.0
